from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,rotatory_strength_cgs,mx_au,my_au,mz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,1-1A,1,1A,3.433253,27691.1,361.1,65.94199,0.43652,0.22817,0.26735,1.6357,8.6832,-2.4481
0-1A,0,1A,2-1A,2,1A,4.537812,36599.9,273.2,-162.51862,0.34941,-0.58718,-0.68691,1.6357,8.6832,-2.4481
0-1A,0,1A,3-1A,3,1A,4.719433,38064.8,262.7,4.80655,0.04978,-0.43061,0.1589,1.6357,8.6832,-2.4481
0-1A,0,1A,4-1A,4,1A,4.852597,39138.8,255.5,9.25518,0.28376,0.22216,0.17082,1.6357,8.6832,-2.4481
0-1A,0,1A,5-1A,5,1A,5.062777,40834.1,244.9,-36.57793,0.12087,-0.3833,-0.20686,1.6357,8.6832,-2.4481
0-1A,0,1A,6-1A,6,1A,5.310624,42833.1,233.5,-0.60526,-0.01001,0.03216,0.04317,1.6357,8.6832,-2.4481
0-1A,0,1A,7-1A,7,1A,5.359533,43227.6,231.3,-1.33858,0.36545,-0.50808,-0.25942,1.6357,8.6832,-2.4481
0-1A,0,1A,8-1A,8,1A,5.55333,44790.6,223.3,60.78401,0.05694,-0.33617,0.08856,1.6357,8.6832,-2.4481
0-1A,0,1A,9-1A,9,1A,5.57866,44994.9,222.2,130.3088,-0.04082,-1.02044,0.43277,1.6357,8.6832,-2.4481
