from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,oscillator_strength,dipole_strength_au2,dx_au,dy_au,dz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,1-1A,1,1A,3.433253,27691.1,361.1,0.518863905,6.16864,1.06943,-0.03269,-2.2414,1.6357,8.6832,-2.4481
0-1A,0,1A,2-1A,2,1A,4.537812,36599.9,273.2,1.04412257,9.39176,-2.64246,-1.4161,-0.63548,1.6357,8.6832,-2.4481
0-1A,0,1A,3-1A,3,1A,4.719433,38064.8,262.7,0.055816152,0.48274,-0.42496,0.16772,0.52347,1.6357,8.6832,-2.4481
0-1A,0,1A,4-1A,4,1A,4.852597,39138.8,255.5,0.211246634,1.77688,-0.44479,-0.42852,1.18127,1.6357,8.6832,-2.4481
0-1A,0,1A,5-1A,5,1A,5.062777,40834.1,244.9,0.150332703,1.21201,-0.99765,-0.44717,-0.12942,1.6357,8.6832,-2.4481
0-1A,0,1A,6-1A,6,1A,5.310624,42833.1,233.5,0.003234824,0.02486,0.149,0.03182,0.0406,1.6357,8.6832,-2.4481
0-1A,0,1A,7-1A,7,1A,5.359533,43227.6,231.3,0.345023026,2.62762,-1.34906,-0.67026,-0.59867,1.6357,8.6832,-2.4481
0-1A,0,1A,8-1A,8,1A,5.55333,44790.6,223.3,0.037877381,0.2784,-0.12393,0.43437,0.27269,1.6357,8.6832,-2.4481
0-1A,0,1A,9-1A,9,1A,5.57866,44994.9,222.2,0.446302319,3.26544,-0.58499,0.90853,1.44838,1.6357,8.6832,-2.4481
