index,occupation,energy_Eh,energy_eV,irrep
1245,0.0,3.524511,95.9068,
1246,0.0,3.527759,95.9952,
1247,0.0,3.529968,96.0553,
1248,0.0,3.532682,96.1292,
1249,0.0,3.534477,96.178,
1250,0.0,3.535583,96.2081,
1251,0.0,3.539311,96.3095,
1252,0.0,3.541044,96.3567,
1253,0.0,3.548251,96.5528,
1254,0.0,3.549471,96.586,
1255,0.0,3.555884,96.7605,
1256,0.0,3.55954,96.86,
1257,0.0,3.561911,96.9245,
1258,0.0,3.564401,96.9923,
1259,0.0,3.565379,97.0189,
1260,0.0,3.567781,97.0843,
1261,0.0,3.56879,97.1117,
1262,0.0,3.570467,97.1573,
1263,0.0,3.575515,97.2947,
1264,0.0,3.577678,97.3536,
1265,0.0,3.580021,97.4173,
1266,0.0,3.581308,97.4523,
1267,0.0,3.588494,97.6479,
1268,0.0,3.59174,97.7362,
1269,0.0,3.593825,97.7929,
1270,0.0,3.599304,97.942,
1271,0.0,3.601887,98.0123,
1272,0.0,3.603229,98.0489,
1273,0.0,3.604908,98.0945,
1274,0.0,3.606147,98.1282,
1275,0.0,3.609257,98.2129,
1276,0.0,3.61231,98.296,
1277,0.0,3.61447,98.3547,
1278,0.0,3.618504,98.4645,
1279,0.0,3.621354,98.5421,
1280,0.0,3.624328,98.623,
1281,0.0,3.627473,98.7086,
1282,0.0,3.629926,98.7753,
1283,0.0,3.635638,98.9307,
1284,0.0,3.637052,98.9692,
1285,0.0,3.640361,99.0593,
1286,0.0,3.642412,99.1151,
1287,0.0,3.646491,99.2261,
1288,0.0,3.65131,99.3572,
1289,0.0,3.655661,99.4756,
1290,0.0,3.660814,99.6158,
1291,0.0,3.662363,99.658,
1292,0.0,3.666947,99.7827,
1293,0.0,3.672049,99.9215,
1294,0.0,3.672607,99.9367,
1295,0.0,3.678305,100.0918,
1296,0.0,3.680271,100.1453,
1297,0.0,3.684407,100.2578,
1298,0.0,3.69077,100.431,
1299,0.0,3.692078,100.4666,
1300,0.0,3.692891,100.4887,
1301,0.0,3.696178,100.5781,
1302,0.0,3.699367,100.6649,
1303,0.0,3.702881,100.7605,
1304,0.0,3.70731,100.881,
1305,0.0,3.712628,101.0257,
1306,0.0,3.71606,101.1191,
1307,0.0,3.72161,101.2702,
1308,0.0,3.722699,101.2998,
1309,0.0,3.727333,101.4259,
1310,0.0,3.729471,101.4841,
1311,0.0,3.732601,101.5692,
1312,0.0,3.736505,101.6755,
1313,0.0,3.742309,101.8334,
