from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,oscillator_strength,dipole_strength_au2,dx_au,dy_au,dz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,72-1A,72,1A,7.61619,61428.7,162.8,0.008919416,0.0478,-0.03909,-0.09283,-0.19405,1.6455,8.6501,-2.3975
0-1A,0,1A,70-1A,70,1A,7.619191,61452.9,162.7,0.027736646,0.14859,-0.2835,-0.04013,0.25808,1.6455,8.6501,-2.3975
0-1A,0,1A,68-1A,68,1A,7.621194,61469.1,162.7,0.009176028,0.04914,-0.19491,-0.08447,0.0634,1.6455,8.6501,-2.3975
0-1A,0,1A,83-1A,83,1A,7.629305,61534.5,162.5,0.022117545,0.11833,0.1601,-0.2086,0.22177,1.6455,8.6501,-2.3975
0-1A,0,1A,75-1A,75,1A,7.644636,61658.2,162.2,0.048384198,0.25834,-0.09784,-0.15411,0.47436,1.6455,8.6501,-2.3975
0-1A,0,1A,62-1A,62,1A,7.666452,61834.1,161.7,0.025605743,0.13633,0.22017,-0.04909,-0.29231,1.6455,8.6501,-2.3975
0-1A,0,1A,69-1A,69,1A,7.670967,61870.5,161.6,0.015913644,0.08468,0.14691,0.2478,-0.04108,1.6455,8.6501,-2.3975
0-1A,0,1A,78-1A,78,1A,7.675165,61904.4,161.5,0.027808381,0.14789,-0.05138,-0.00456,0.38108,1.6455,8.6501,-2.3975
0-1A,0,1A,87-1A,87,1A,7.680455,61947.1,161.4,0.002284328,0.01214,0.02048,0.02604,-0.10508,1.6455,8.6501,-2.3975
0-1A,0,1A,84-1A,84,1A,7.693578,62052.9,161.2,0.002604874,0.01382,0.0099,-0.04662,-0.10746,1.6455,8.6501,-2.3975
0-1A,0,1A,81-1A,81,1A,7.703152,62130.1,161.0,0.007144775,0.03786,-0.11568,-0.13936,-0.07109,1.6455,8.6501,-2.3975
0-1A,0,1A,77-1A,77,1A,7.710227,62187.2,160.8,0.01558821,0.08252,0.15927,0.21794,-0.09826,1.6455,8.6501,-2.3975
0-1A,0,1A,79-1A,79,1A,7.713932,62217.1,160.7,0.005758578,0.03047,0.04718,-0.10496,0.13126,1.6455,8.6501,-2.3975
0-1A,0,1A,74-1A,74,1A,7.726651,62319.6,160.5,0.021416072,0.11313,0.00434,0.14547,-0.30324,1.6455,8.6501,-2.3975
0-1A,0,1A,89-1A,89,1A,7.734973,62386.8,160.3,0.003948712,0.02084,0.06501,-0.12076,-0.04503,1.6455,8.6501,-2.3975
0-1A,0,1A,66-1A,66,1A,7.735782,62393.3,160.3,0.019667687,0.10377,0.07415,0.26041,-0.17453,1.6455,8.6501,-2.3975
0-1A,0,1A,91-1A,91,1A,7.748696,62497.5,160.0,0.004874308,0.02568,0.00274,-0.08991,-0.1326,1.6455,8.6501,-2.3975
0-1A,0,1A,100-1A,100,1A,7.760863,62595.6,159.8,0.009564507,0.0503,0.18889,-0.09947,0.06877,1.6455,8.6501,-2.3975
0-1A,0,1A,59-1A,59,1A,7.76984,62668.0,159.6,0.031502146,0.16549,0.12586,-0.27946,-0.2675,1.6455,8.6501,-2.3975
0-1A,0,1A,98-1A,98,1A,7.777696,62731.4,159.4,0.047886327,0.25131,-0.24438,-0.11466,-0.42242,1.6455,8.6501,-2.3975
0-1A,0,1A,86-1A,86,1A,7.801379,62922.4,158.9,0.024877194,0.13016,-0.16932,-0.29377,0.12323,1.6455,8.6501,-2.3975
0-1A,0,1A,76-1A,76,1A,7.820152,63073.8,158.5,0.022876266,0.1194,-0.12633,-0.23075,0.22405,1.6455,8.6501,-2.3975
0-1A,0,1A,85-1A,85,1A,7.820674,63078.0,158.5,0.022966734,0.11987,-0.25104,0.23671,-0.02855,1.6455,8.6501,-2.3975
0-1A,0,1A,73-1A,73,1A,7.831047,63161.7,158.3,0.037248539,0.19415,-0.19331,0.09272,-0.38494,1.6455,8.6501,-2.3975
0-1A,0,1A,96-1A,96,1A,7.863603,63424.2,157.7,0.089385442,0.46397,0.11588,0.10286,0.66329,1.6455,8.6501,-2.3975
0-1A,0,1A,80-1A,80,1A,7.868459,63463.4,157.6,0.005496168,0.02851,-0.02705,-0.0231,0.16506,1.6455,8.6501,-2.3975
0-1A,0,1A,93-1A,93,1A,7.880927,63564.0,157.3,0.021273797,0.11018,0.14435,0.13046,0.26893,1.6455,8.6501,-2.3975
0-1A,0,1A,94-1A,94,1A,7.883705,63586.4,157.3,0.012399188,0.0642,0.10142,-0.0098,-0.23198,1.6455,8.6501,-2.3975
0-1A,0,1A,92-1A,92,1A,7.888787,63627.4,157.2,0.002232713,0.01155,0.02282,-0.09156,0.05146,1.6455,8.6501,-2.3975
0-1A,0,1A,95-1A,95,1A,7.903872,63749.0,156.9,0.033222544,0.17157,0.01291,-0.2834,-0.3018,1.6455,8.6501,-2.3975
0-1A,0,1A,97-1A,97,1A,7.918281,63865.2,156.6,0.008356087,0.04307,0.19433,0.06765,-0.02704,1.6455,8.6501,-2.3975
0-1A,0,1A,90-1A,90,1A,7.959637,64198.8,155.8,0.010443064,0.05355,-0.00529,0.05816,-0.22392,1.6455,8.6501,-2.3975
0-1A,0,1A,99-1A,99,1A,8.020721,64691.5,154.6,0.008108941,0.04127,-0.04948,0.09438,-0.17294,1.6455,8.6501,-2.3975
0-1A,0,1A,88-1A,88,1A,8.040102,64847.8,154.2,0.008089086,0.04107,0.18508,-0.06951,-0.04451,1.6455,8.6501,-2.3975
