index,symbol,x_ang,y_ang,z_ang
,C,-0.706271,5.667926,-2.403789
,C,-0.427826,5.355535,-3.7118
,N,0.788407,5.889116,-4.066988
,C,1.240453,6.518019,-3.003491
,N,0.366646,6.419935,-1.961308
,C,-1.23084,4.588398,-4.681056
,C,-1.862971,5.303653,-1.562625
,C,2.512297,7.268557,-2.992287
,C,-2.623904,4.526108,-4.598425
,C,-3.356741,3.799547,-5.528043
,C,-2.713063,3.129213,-6.56229
,C,-1.327767,3.199091,-6.662512
,C,-0.594795,3.922521,-5.731372
,C,-2.728106,6.273044,-1.060729
,C,-3.835276,5.904675,-0.305651
,C,-4.096877,4.562228,-0.060388
,C,-3.238603,3.589193,-0.561977
,C,-2.125177,3.95906,-1.30251
,C,2.835906,8.02819,-4.11882
,C,4.037241,8.718804,-4.181388
,C,4.933617,8.65979,-3.118639
,C,4.621916,7.901328,-1.998191
,C,3.419819,7.208417,-1.93556
,C,0.522525,7.026373,-0.643771
,C,1.053011,6.059655,0.41618
,N,0.025626,5.23987,1.02157
,C,-0.74225,5.697642,2.028126
,O,-0.687995,6.870298,2.403609
,C,-1.631695,4.678388,2.705883
,C,-0.821218,3.768787,3.657052
,C,-0.084174,2.663996,2.933343
,C,1.218027,2.783716,2.675182
,C,2.095254,1.826534,1.911356
,C,2.554986,2.409464,0.591687
,C,3.729321,3.157483,0.51799
,C,4.131303,3.624094,-0.727032
,C,3.404562,3.382843,-1.876308
,C,2.214847,2.680787,-1.853904
,C,1.822651,2.211488,-0.589544
,C,4.166884,3.984548,-3.021356
,O,5.343072,4.567572,-2.410427
,C,5.329265,4.377026,-1.074475
,C,1.424641,2.424351,-3.107011
,O,4.452887,3.399364,1.635264
,O,0.629026,1.540006,-0.476992
,C,0.692144,0.160109,-0.846874
,O,6.205209,4.791388,-0.344746
,C,-0.945808,1.499151,2.524135
,H,-3.143132,5.059432,-3.811798
,H,-4.43844,3.765708,-5.448438
,H,-3.28693,2.563936,-7.289002
,H,-0.814452,2.687014,-7.469954
,H,0.483904,3.97899,-5.8163
,H,-2.545932,7.320879,-1.274939
,H,-4.501216,6.668745,0.08093
,H,-4.96452,4.274806,0.523932
,H,-3.433195,2.539345,-0.368977
,H,-1.450078,3.202032,-1.684631
,H,2.135002,8.072155,-4.94436
,H,4.27395,9.30787,-5.060999
,H,5.873382,9.199275,-3.16738
,H,5.322139,7.832535,-1.17281
,H,3.211411,6.598595,-1.066434
,H,1.206461,7.866042,-0.754737
,H,-0.436086,7.429322,-0.323538
,H,1.795727,5.389985,-0.019387
,H,1.538443,6.646444,1.199368
,H,-0.024662,4.265061,0.781747
,H,-2.379534,5.235412,3.271018
,H,-2.149962,4.077009,1.956958
,H,-0.120594,4.383082,4.229467
,H,-1.520158,3.324455,4.372385
,H,1.721251,3.686153,3.018856
,H,2.98297,1.603494,2.509187
,H,1.582575,0.884468,1.732034
,H,4.498195,3.238551,-3.746545
,H,3.622973,4.776784,-3.538254
,H,0.36334,2.303505,-2.89267
,H,1.537306,3.257115,-3.800906
,H,1.771858,1.517741,-3.61232
,H,5.240172,3.912612,1.389575
,H,-0.308923,-0.245465,-0.703924
,H,0.988512,0.04438,-1.892445
,H,1.401334,-0.376464,-0.208708
,H,-0.40126,0.738498,1.969047
,H,-1.389559,1.034855,3.411076
,H,-1.775453,1.840026,1.895939
