from_state_label,from_root,from_state_suffix,to_state_label,to_root,to_state_suffix,energy_eV,energy_cm1,wavelength_nm,oscillator_strength,velocity_strength_au2,px_au,py_au,pz_au,center_of_mass_x,center_of_mass_y,center_of_mass_z
0-1A,0,1A,1-1A,1,1A,3.433253,27691.1,361.1,0.278264421,0.05266,-0.09502,0.00198,0.20888,1.6357,8.6832,-2.4481
0-1A,0,1A,2-1A,2,1A,4.537812,36599.9,273.2,0.647257711,0.16191,0.34853,0.18311,0.08308,1.6357,8.6832,-2.4481
0-1A,0,1A,3-1A,3,1A,4.719433,38064.8,262.7,0.021747263,0.00566,0.03942,0.00149,-0.06404,1.6357,8.6832,-2.4481
0-1A,0,1A,4-1A,4,1A,4.852597,39138.8,255.5,0.081857245,0.0219,0.06638,0.05942,-0.11815,1.6357,8.6832,-2.4481
0-1A,0,1A,5-1A,5,1A,5.062777,40834.1,244.9,0.080406446,0.02244,0.13631,0.05414,0.03046,1.6357,8.6832,-2.4481
0-1A,0,1A,6-1A,6,1A,5.310624,42833.1,233.5,0.002177252,0.00064,-0.02098,-0.00139,-0.01397,1.6357,8.6832,-2.4481
0-1A,0,1A,7-1A,7,1A,5.359533,43227.6,231.3,0.195843391,0.05786,0.19493,0.07076,0.12188,1.6357,8.6832,-2.4481
0-1A,0,1A,8-1A,8,1A,5.55333,44790.6,223.3,0.013730447,0.0042,0.00636,-0.05307,-0.03669,1.6357,8.6832,-2.4481
0-1A,0,1A,9-1A,9,1A,5.57866,44994.9,222.2,0.157508958,0.04844,0.05734,-0.0675,-0.20148,1.6357,8.6832,-2.4481
