conformer,relative_energy_kcal_mol,degeneracy,percent_total,percent_cumulative
1089,5.873,1,0.0,99.98
1090,5.875,1,0.0,99.98
1091,5.878,1,0.0,99.98
1092,5.878,1,0.0,99.98
1093,5.88,1,0.0,99.98
1094,5.882,1,0.0,99.98
1095,5.885,1,0.0,99.98
1096,5.886,1,0.0,99.98
1097,5.888,1,0.0,99.98
1098,5.894,1,0.0,99.98
1099,5.894,1,0.0,99.98
1100,5.895,1,0.0,99.98
1101,5.897,1,0.0,99.98
1102,5.898,1,0.0,99.98
1103,5.9,1,0.0,99.99
1104,5.901,1,0.0,99.99
1105,5.907,1,0.0,99.99
1106,5.909,1,0.0,99.99
1107,5.912,1,0.0,99.99
1108,5.918,1,0.0,99.99
1109,5.919,1,0.0,99.99
1110,5.925,1,0.0,99.99
1111,5.925,1,0.0,99.99
1112,5.927,1,0.0,99.99
1113,5.931,1,0.0,99.99
1114,5.934,1,0.0,99.99
1115,5.934,1,0.0,99.99
1116,5.934,1,0.0,99.99
1117,5.936,1,0.0,99.99
1118,5.943,1,0.0,99.99
1119,5.946,1,0.0,99.99
1120,5.947,1,0.0,99.99
1121,5.948,1,0.0,99.99
1122,5.949,1,0.0,99.99
1123,5.954,1,0.0,99.99
1124,5.963,1,0.0,99.99
1125,5.963,1,0.0,99.99
1126,5.967,1,0.0,99.99
1127,5.967,1,0.0,99.99
1128,5.971,1,0.0,99.99
1129,5.972,1,0.0,99.99
1130,5.974,1,0.0,99.99
1131,5.975,1,0.0,100.0
1132,5.975,1,0.0,100.0
1133,5.977,1,0.0,100.0
1134,5.977,1,0.0,100.0
1135,5.978,1,0.0,100.0
1136,5.979,1,0.0,100.0
1137,5.979,1,0.0,100.0
1138,5.981,1,0.0,100.0
1139,5.982,1,0.0,100.0
1140,5.986,1,0.0,100.0
1141,5.986,1,0.0,100.0
1142,5.991,1,0.0,100.0
1143,5.993,1,0.0,100.0
1144,5.995,1,0.0,100.0
1145,5.996,1,0.0,100.0
1146,5.997,1,0.0,100.0
